Name,Start_Date,End_Date,Location,City,State,Zip,Details,Notes,Type,Longitude,Latitude
Skylands Cycling 2024 Membership,1/1/24 0:00,12/31/24 0:00,,Newton,NJ,7860,http://www.BikeReg.com/skylands-cycling-membership111,,Club Membership,-74.7530943,41.0582103
2024 Galbraith Gravity Racing Team Spring Session Membership Drive,1/1/24 0:00,12/31/24 0:00,1201 Birch Falls Dr,Bellingham,WA,98229,http://www.BikeReg.com/galbraith-gravity-racing-team-membership,"Welcome to the 2024 Spring Session of Galbraith Gravity Racing!
Important - Getting Started:
Sign up for a race license at USA Cycling prior to registering, the system will ask for your USAC license number.  Race+ is free if you sign up soon using code 
PLUSONUS24
When signing up for your USA Cycling license - add 
Galbraith Gravity Racing
 as your team affiliation.  Any issues with USA Cycling are easily fixed by emailing: 
membership@usacycling.org
Your GGR Team membership includes 
discounted
 entry to all six GGR Local Races - you
 still need to register
 for each race - this is how we assign race plate numbers and sign race waivers.
Coaches start training in February depending on the weather.  All other racers will start the GGR spring session the week of 11 March through 30 May 2024.  An 12 week program.  We have an optional week 13 and 14 depending on weather and how the team is feeling!   Registration includes:
Racer jersey
Discounted
 entry fees for all six GGR races.
11 weeks of practice with 6 weeks of local GGR racing (we take breaks for Spring Break)
Race Support at Hubapalooza and NW Cup #1, NW Cup #2, CDC Post Canyon, CDC North Slope and BME Rock Creek.  (all race support is volunteer driven)
Race support and team events through June 15th 2023.
Access to team pits at all races the team attends - and access to team pit equipment and race trailer.
Use of the team huck wagon and team shuttle days.
Fall program will require additional registration.  
Year round access to the team SLACK and Calendar
All trailers wagons, equipment etc are subject to restrictions.  This is a race team - stuff happens so be flexible.
Team discounts from team sponsors.
The goal of the spring session is to practice key skills, build confidence, team cohesion, endurance and experience the fun of racing.  Racers practice for two weeks, then practice/race for six weeks.  During the session we have trips to Spokane for Hubapalooza (not mandatory),  Port Angeles WA for NW Cup #1 & #2 (not mandatory), and take the week off for Spring Break with the exception of Hubapalooza folks.  At the end of the session, try racing the NW Cup Race #2 and/or the first two Cascadia Dirt Cups. Some of the racers will be heading to Rock Creek during the spring to prepare for U.S. National Champs - make the trip and give it a try!  When the session is over - racers head off and complete the races they want to make in the summer.  Let's get GGR to win the NW Cup Overall again in 2024!
Please note:
Dates are weather and safety dependent, changes can and will occur.  We reserve the right to cancel practice/races and makeup dates may not be available.
Specific dates for specific age groups will be posted on the team calendar and on the team SLACK message board.
Nothing is mandatory to attend - racers set their own schedule
All racers must agree to the code of conduct.
GGR is a race team - not a chid care service or full service coaching clinic program.  Everyone is expected to contribute, be flexible, and help the team.  Fees are used to pay insurance, buy equipment, purchase coaching certifications, etc.  This is not fee for service - in other words, we do not offer prorated refunds.
Calendar (age group groups will be moved about based on the racers needs.  We will offer a M-W option and a T-TH option for practices. Racers can mix and match on a limited basis with approval.  Times are based on sunset, but basically start a little after 4:30ish.  Some rides can happen early for smaller kids based on coach availability.  Some Monday rides are not available after NW Cup events.  Groups are made up after registration)
Feb - coaching clinics
Week of 3/11: two skill practice sessions
Week of 3/18: one skill practice, one race course practice, GGR Saturday Race
Week of 3/25: one skill practice, one race course practice, GGR Saturday Race
Week of 4/1: Spring Break - Hubapalooza and DHSE Rock Creek
Week of 4/8: two skill practice sessions, NW Cup 1
Week of 4/15: one skill practice, one race course practice, GGR Saturday Race
Week of 4/22: one skill practice, one race course practice, GGR Saturday Race
Week of 4/29: one skill practice, one race course practice, GGR Saturday Race
Week of 5/6: two skill practice sessions, BME DH Rock Creek (Nationals Prep) or GGR Race 6
Week of 5/13: 2X Practice, NW Cup 2
Week of 5/20: 2X Practice, Possible Race 6
Week of 5/27: 2X Practice Week, DHSE Snowshoe, CDC North Slope
Week of 6/3: Make Up 2X Practice, BME Sunrise
Week of 6/10: Make Up 2X Practice, NAEC Silver
***note - younger racers 8 and under only practice 1x per week.
GGR Local Galbraith Mountain Race Dates:
3/23- SST
3/30 - SST Alt
4/20 - Air Chair
4/27 - Oriental Express
5/4 - Atomic Dog
5/11 or 5/25 (TBD) - SST
Registering through BikeReg allows us to electronically complete waivers for all our participants, connects to USA Cycling and more. Creating a BIKEREG account when signing for membership will make it easier for signing up to races/clinic etc.  NW Cup also uses BIKEREG, so create an account if you don't already have one - it will save time in the future. 
***Please note - The event title is 'Membership Drive'.  The timeframe for membership is not the term of membership.  Team insurance and membership set to cover the entire year, through Dec 31st, 2023.  The training and riding spring session season is planned to be Feb-May and team membership is through October, but many factors are considered and the riding schedule is not final.
When you join - you will gain electronic access to the team calendar and team SLACK platform - access emails are not automatic, we have to put them in manually, feel free to remind us.
Membership also includes team jersey for the racers, parents need to purchase a jersey if they want one.  Parents are encouraged to race in a team jersey!  We have a specific support group for parents for 'kids that are faster than they are' ;).  Once into SLACK and the Calendar, you will see season training seminars that start early March.  These seminars are the fundamentals racers will practice over and over...  The season is divided into three main parts - Training in the Spring (Spring Session).  Racing in the Summer (NW Cups, Cascadia Enduros, BMEs, Nationals etc).  Taper and fun in the Fall.  If you have questions - please let us know.
Refunds - we have fixed and variable costs. If you change your mind, and need a refund, funds may not be available. Once clinics start, and jerseys have been ordered no refunds for these items will be issued.  
Appreciate your being part of the team!
V/R
Dave, Matt, Sarah and Lloyd (your board members) and the rest of the GGR Family","Club Membership, Washington State Bike Racing Association (WSBA)",-122.478836,48.7544012
NVP 2024 Membership and Waiver,1/1/24 0:00,12/31/24 0:00,PO Box 2398,Acton,MA,1720,http://www.BikeReg.com/nvp-24registration,"Benefits of membership


Insurance while participating in club rides


Donations available in support of participation in charity rides


Member meetings with interesting guest speakers on cycling topics


Spring banquet, holiday party, and occasional dining clubs


Regular email updates


Email Interest groups (Google Groups)


RideWithGPS premium features (cue sheets, navigation) for club routes


Annual NVP Apple Country Century (discount on registration fee) 


And lots of rides -- long and short, fast and slow, day and evening, road and mountain!


Types of membership


Adult membership (18yrs or older)


One additional adult membership (age 18 or older) member residing in the same household as the 1st adult member.


Dependent children under the age of 18 may participate in any NVP events provided the Parent/Guardian signs a minor release at each ride (no fee)


 


Register Here if:


You are an adult member


You wish to register as an adult member with one addtional family member


 Contact 
membership@nvpbike.org
 if:.


You are an adult member with more than one family member",Club Membership,-71.43284,42.4850931
River Valley Cycling 2024 Membership,1/1/24 0:00,12/31/24 0:00,P.O. Box 11836,Fort Smith,AR,72917,http://www.BikeReg.com/river-valley-cycling-membership-2024,"River Valley Cycling is an organization that was created and designed to promote activities in recreational cycling, mountain biking, touring and competitive bicycle racing. It is the team's goal to participate in local, regional, and national USCF & NORBA cycling events, tours, and rides, to promote cycling through a variety of venues, and to participate in local charity events that benefit the community. For more club information, please visit www.facebook.com/RiverValleyCycling

 


MEMBERSHIP BENEFITS


• Training 


• Competition 


• Group Travel


• Team Apparel


• Seminars


• Socials


• Advocacy


• Discounts at local Bike shops



 
Membership Fee:   $30.00 individual per calendar year


                            $50.00 family per calendar year",Club Membership,-94.4265011,35.3880338
Capital Bicycle Racing Club Membership 2024,1/1/24 0:00,12/31/24 0:00,"PO Box 503 Delmar, NY 12054 ",Delmar,NY,12054,http://www.BikeReg.com/capital-bicycle-racing-club-membership-january-1st-december-31st-delmarny,"2024 CBRC Membership
Join Upstate New York's premier amateur bike racing organization and race as part of one of the most established cycling teams in the East coast peloton.  Now in its 38th year, CBRC hosts numerous road, time trial, Gravel and cylcocross events throughout the year. CBRC maintains a vigorous series of training rides all year long.  
If you're a Junior Road, Cyclocross or MTB  racer we have a home for you.  No cost to join as a Junior. 
If you race bikes, if you want to learn to race bikes, or if you simply love bikes, CBRC is the place for you.
CBRC memberships are in effect on calendar year boundaries. Memberships run from the time of your registration through the end of the calendar year.  Your CBRC membership entitles you to all benefits of the Club throughout the year, such as  Race crash kit replacement policy, the annual dinner and more, and access to the CBRC Google group where weekly riders and events are published.  See you on the road!
Upon registering please be on the lookout for a confirmation email sent by Bikereg. This will contain additional information about your 2022 membership. To ensure delivery of confirmation email add 
mail@BikeReg.com
 to your email safe sender list.","Club Membership, Club Membership",-73.8326232,42.6220235
Kids Bike League - 2024 Effingham Events,2/10/24 0:00,12/31/24 0:00,310 Honey Ridge Road,Guyton,GA,31312,http://www.BikeReg.com/kbl-effingham-2024,"We can’t wait to see you at our Kids Bike League events in Effingham!
 
*What to Bring*
Helmet
Water bottle
Closed-toe shoes
Bike (without training wheels)
If you do not have a bike, we will have one for you to ride.
 
*
What We Provide
*
Bikes for those who don’t have their own
Helmets for those who don't have their own
Water for bottle refills
Lunch is only provided during summer and winter camps
 
*
What to Expect for Learn to Ride A Bike Days
*
This ride is for those who want to learn to ride a bike. Coaches will help teach basic safety and technical skills.  If your child has a bike, please bring it with training wheels removed. We will have bikes available if they need a better fitting bike.
 
*
What to Expect at Ride Days & Camps
*
This ride is for those comfortable riding a bike without training wheels. Coaches will focus on leading group rides on the trails and teaching skills, including both group safely and individual riding. Group rides are generally around 45 minutes. Please arrive 10-15 minutes early if you need to use one of our bikes.
 
*How to Prepare*
If you know other kids who are learning to ride, we recommend bringing them along. Kids of the same experience level will be able to encourage one another as they learn to ride together. Please make sure all riding participants have registered online and parents have signed the online waiver.
 
If you need financial help in order for your child to attend camp, please use the discount code SummerFun. This will cover 95% of the camp cost.","Cycling Camp, Cycling Camp",-81.3914992,32.3363045
2024 State 9 Racing Team Membership,12/31/24 0:00,12/31/24 0:00,,Manchester,NH,3101,http://www.BikeReg.com/state-9-racing-team-membership-2024,"State 9 Racing is a New Hampshire based cycling racing team, we are comprised of cyclocross, gravel, mountain bike and road racing teams.  If you are interested in racing for us in 2024, please contact us through bikereg for membership and racing requirements.","Club Membership, Club Membership",-71.4547891,42.9956397
Dry Hill MicroShuttle 2024,1/1/24 0:00,12/31/24 0:00, Walkabout Way,Port Angeles,WA,98363,http://www.BikeReg.com/dry-hill-micro-shuttle,"Come ride the amazing tracks at Dry Hill in Port Angeles.  These Micro-shuttle events will be limited to 20 people to create a more intimate atmosphere and eliminate lines.  Only pre-registered riders will be allowed to shuttle.


Dry Hill is always open to the public for pedal-up laps, but only authorized vehicles are allowed past the podium area.  We will be using a van with a Huckwagon trailer set to take 10 riders per lap.  Laps take about 15 minutes round trip, so you can get plenty in a day.




On most days, all trails will be open to ride, and there are quite a few.  You might even make it a goal to ride (find) every trail in a day.  Remember, this is a recreation day not a race day.  Ride within your limits and stay safe.


 




ALWAYS RIDE WITH A BUDDY, HAVE A PHONE, AND THE EMERGENCY CARD!!!!  There are a lot of trails to disperse into and if something happens, we want to get to you as fast as possible.  Safety first!!


There will be a porta-pottie available, but this is the woods, so don't count on electricity or potable water.  Bring snacks, lunch, water and whatever else you need to keep yourself riding for the day.


This is a rider/builder operated business so pretty much all proceeds go back into the trails. 


Once registered, you'll receive an email giving the rest of the details of the day.


See you soon.","Special Event, Recreational",-123.430741,48.118146
Mohawk Valley Bicycling Club (MVBC) 2024 Membership,1/1/24 0:00,12/31/24 0:00,,New Hartford,NY,13413,http://www.BikeReg.com/mvbcmembership,,Club Membership,-75.287933,43.073653
2024 Minuteman Road Club Membership,1/2/24 0:00,12/31/24 0:00,,Boston and Metrowest,MA,2465,http://www.BikeReg.com/minuteman-road-club-membership-2024,,Club Membership,,
